,job,money,skill,ink,area,jobDes,inkDes
0,硬件开发（FPGA&PCB方向）,11k-18k,音频｜视频媒体 智能硬件 Cadence 示波器 FPGA开发 PCB开发,卡莱特,[深圳·西丽],“周末双休 大牛带队 专业培训”,IT技术服务｜咨询 / 未融资 / 500-2000人
1,初级硬件工程师,5k-8k,智能硬件 物联网 orCAD 信号分析仪 ARM,行道京雄,[保定·容城县],“五险一金，福利配套全， 弹性上班，扁平化管理”,企业服务 / 不需要融资 / 15-50人
2,硬件工程师,10k-20k,智能硬件 IT技术服务｜咨询 Cadence,千寻位置,[上海·杨浦区],“带薪休假/年终奖金/节日礼物/牛人团队”,智能硬件 / A轮 / 500-2000人
3,硬件工程师助理,8k-16k,智能硬件 制造业 Protel PADS Cadence,安声科技,[深圳·西丽],“六险一金，导师帮带”,"移动互联网,电商 / B轮 / 50-150人"
4,硬件测试工程师,6k-9k,智能硬件 JAVA C语言 自动化测试 EMC,中自庆安新能源技术,[杭州·钱塘区],“六险一金、车补饭补、节假日福利、年终双薪等”,其他 / 不需要融资 / 150-500人
5,硬件工程师,10k-20k,智能硬件 IT技术服务｜咨询 Cadence,千寻位置,[上海·杨浦区],“牛人团队 晋升空间”,智能硬件 / A轮 / 500-2000人
6,硬件运维工程师,6k-10k,在线医疗 人工智能服务 Linux,深睿医疗,[杭州·余杭区],“发展前景好 大牛团队”,"在线医疗,人工智能服务 / C轮 / 150-500人"
7,产品结构工程师,6k-12k,智能硬件,重庆易宠科技有限公司,[重庆·大竹林],“五险一金、创新项目、节日福利、双休”,电商 / B轮 / 500-2000人
8,结构助理工程师,8k-13k,智能硬件 制造业,安声科技,[深圳·西丽],“六险一金，导师帮带”,"移动互联网,电商 / B轮 / 50-150人"
9,硬件工程师助理,4k-8k,智能硬件 汇编语言,智游天下,[郑州·经开区],“团队氛围好 不加班 有岗中技能培训”,"IT技术服务｜咨询,软件服务｜咨询,物联网 / 上市公司 / 50-150人"
10,硬件助理工程师,8k-16k,智能硬件 硬件开发,鼎智通讯,[深圳·上沙],“发展前景好、待遇优”,制造业 / 未融资 / 150-500人
11,机械结构工程师（杭州）,12k-18k,人工智能服务 智能硬件,宇树科技,[杭州·西兴],“硕博团队，学习氛围，高自由度”,其他 / A轮 / 150-500人
12,初级硬件工程师,5k-8k,物联网 智能硬件 ARM 信号分析仪 orCAD,行道京雄,[保定·容城县],“五险一金，福利配套全， 弹性上班，扁平化管理”,企业服务 / 不需要融资 / 15-50人
13,机械结构工程师,12k-24k,人工智能服务 智能硬件,其域创新,[深圳·大冲],“六险一金、扁平管理、高效团队”,"IT技术服务｜咨询,人工智能服务 / 天使轮 / 50-150人"
14,硬件平台测试工程师,11k-17k,智能硬件 网络通信 功能测试 性能测试,黑鲨科技,[上海·南码头],“领导好，岗位晋升，发展前景”,智能硬件 / 不需要融资 / 500-2000人
15,中级硬件工程师,15k-25k,制造业 示波器 万用表,天微电子,[成都·双流县],“科创板上市公司，发展前景大。”,制造业 / 上市公司 / 150-500人
16,硬件开发工程师,15k-30k,智能硬件 物联网 C语言 图像 音频 Wi-Fi 天线,天津华来科技有限公司,[北京·上地],“小米生态链-智能硬件-智能家居产品”,"制造业,智能硬件 / 不需要融资 / 50-150人"
17,硬件开发工程师,20k-40k,新能源汽车制造 智能硬件 Cadence 高速 电源 DDR SI,DJI大疆创新,[深圳·科技园],“发展前景”,智能硬件 / 未融资 / 2000人以上
18,硬件开发工程师,14k-20k,物联网 智能硬件 示波器 频谱仪 万用表 蓝牙模组,爱图仕,[深圳·龙华新…],“优秀的90后团队，技术氛围浓烈，发展前景好”,"IT技术服务｜咨询,物联网 / 未融资 / 500-2000人"
19,硬件开发工程师,18k-30k,硬件制造 ARM 嵌入式 智能制造 DDR,上海热像科技,[上海·浦东新…],“行业领域爆发式增长、氛围简单、目标明确”,智能硬件 / 未融资 / 150-500人
20,硬件开发工程师,20k-35k,信息安全 网络通信 示波器 信号分析仪 Cadence,佳缘科技,[北京·西三旗],“上市公司”,信息安全 / 上市公司 / 150-500人
21,硬件EDA软件开发工程师,10k-20k,技术族 软件类 通用软件,华为技术有限公司,[杭州],“EDA”,"智能硬件,IT技术服务｜咨询,制造业 / 不需要融资 / 2000人以上"
22,硬件EDA软件开发工程师,10k-20k,技术族 软件类 通用软件,华为技术有限公司,[深圳],“EDA”,"智能硬件,IT技术服务｜咨询,制造业 / 不需要融资 / 2000人以上"
23,硬件开发工程师,15k-20k,物联网 C语言 ARM DSP,博宇通达,[北京·丰台区],“良好的团队氛围、多元化技术培训”,"IT技术服务｜咨询,人工智能服务,物联网 / 不需要融资 / 50-150人"
24,硬件开发工程师,20k-40k,信息安全 网络通信 Cadence,佳缘科技,[北京·北下关],“多元化培训，多轨制发展路径，成长机制”,信息安全 / 上市公司 / 150-500人
25,硬件开发工程师,6k-8k,Cadence,云南白药,[合肥·五里墩],“六险两金”,医疗｜保健｜美容 / 上市公司 / 2000人以上
26,硬件工程师,10k-20k,物联网 智能硬件 Cadence Altium C++ MCU ARM,英联启迪,[上海·宝山区],“全球研发中心 不加班”,智能硬件 / 未融资 / 15-50人
27,硬件开发工程师,13k-18k,智能硬件 能源｜矿产｜环保 信号分析仪 频谱仪 Cadence PADS orCAD,道生智控,[深圳·龙华区],“公司开发智能通讯、监测产品，市场前景广阔”,"IT技术服务｜咨询,物联网 / 不需要融资 / 15-50人"
28,电子硬件开发工程师(GWUP),15k-30k,物联网 智能硬件 Cadence PADS,Anker,[深圳·南山区],“发展前景 绩效工资 长期激励 提供三餐”,智能硬件 / 不需要融资 / 2000人以上
29,硬件开发工程师,13k-25k,,白云信息科技有限公司,[广州·人和],“薪资15-30w/年”,其他 / 不需要融资 / 150-500人
